id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401405073,Northwestern,23,Duke,31,Bovada,56.0,-10.0,Northwestern -10.0,-9.0,56.5,-380,290
401405073,Northwestern,23,Duke,31,William Hill (New Jersey),56,-10,Northwestern -10,,,,
401405073,Northwestern,23,Duke,31,consensus,56,-10,Northwestern -10,,,,
401405073,Northwestern,23,Duke,31,teamrankings,56.5,-10,Northwestern -10,,,,
401411103,Georgia State,28,North Carolina,35,Bovada,64.5,7.0,North Carolina -7.0,9.5,68.0,215,-260
401411103,Georgia State,28,North Carolina,35,William Hill (New Jersey),64.5,7,North Carolina -7,,,,
401411103,Georgia State,28,North Carolina,35,consensus,64,7,North Carolina -7,,,,
401411103,Georgia State,28,North Carolina,35,teamrankings,64,7,North Carolina -7,,,,
401415214,New Mexico,14,Boise State,31,Bovada,43.5,17.0,Boise State -17.0,17.0,46.5,525,-800
401415214,New Mexico,14,Boise State,31,William Hill (New Jersey),43.5,17,Boise State -17,,,,
401415214,New Mexico,14,Boise State,31,consensus,43.5,17,Boise State -17,,,,
401415214,New Mexico,14,Boise State,31,teamrankings,43.5,17,Boise State -17,,,,
401415614,Temple,30,Lafayette,14,William Hill (New Jersey),39.5,-14.5,Temple -14.5,,,,
401415614,Temple,30,Lafayette,14,consensus,39.5,-13.5,Temple -13.5,,,,
401415177,Wyoming,33,Northern Colorado,10,William Hill (New Jersey),54.5,-23.5,Wyoming -23.5,,,,
401415177,Wyoming,33,Northern Colorado,10,consensus,54.5,-23.5,Wyoming -23.5,,,,
401415216,Nevada,41,Incarnate Word,55,William Hill (New Jersey),61.5,-4,Nevada -4,,,,
401415216,Nevada,41,Incarnate Word,55,consensus,61.5,-4,Nevada -4,,,,
401415024,East Carolina,39,Old Dominion,21,Bovada,49.5,-13.5,East Carolina -13.5,-11.0,52.0,-500,360
401415024,East Carolina,39,Old Dominion,21,William Hill (New Jersey),50,-13,East Carolina -13,,,,
401415024,East Carolina,39,Old Dominion,21,consensus,50,-13,East Carolina -13,,,,
401415024,East Carolina,39,Old Dominion,21,teamrankings,49.5,-13,East Carolina -13,,,,
401415617,Navy,13,Memphis,37,Bovada,47.0,4.5,Memphis -4.5,6.5,50.0,170,-200
401415617,Navy,13,Memphis,37,William Hill (New Jersey),47,4.5,Memphis -4.5,,,,
401415617,Navy,13,Memphis,37,consensus,47.5,4.5,Memphis -4.5,,,,
401415617,Navy,13,Memphis,37,teamrankings,47.5,4.5,Memphis -4.5,,,,
401416595,Bowling Green,57,Eastern Kentucky,59,William Hill (New Jersey),57,-7.5,Bowling Green -7.5,,,,
401416595,Bowling Green,57,Eastern Kentucky,59,consensus,57,-7.5,Bowling Green -7.5,,,,
401416596,Buffalo,31,Holy Cross,37,William Hill (New Jersey),51.5,-6,Buffalo -6,,,,
401416596,Buffalo,31,Holy Cross,37,consensus,51.5,-6,Buffalo -6,,,,
401416598,Louisiana,49,Eastern Michigan,21,Bovada,56.0,-11.0,Louisiana -11.0,-11.0,56.0,-450,335
401416598,Louisiana,49,Eastern Michigan,21,William Hill (New Jersey),56,-11,Louisiana -11,,,,
401416598,Louisiana,49,Eastern Michigan,21,consensus,56,-11,Louisiana -11,,,,
401416598,Louisiana,49,Eastern Michigan,21,teamrankings,56,-11,Louisiana -11,,,,
401426545,Charlotte,21,Maryland,56,Bovada,65.0,28.0,Maryland -28.0,27.0,66.5,,
401426545,Charlotte,21,Maryland,56,William Hill (New Jersey),65,28,Maryland -28,,,,
401426545,Charlotte,21,Maryland,56,consensus,65,28,Maryland -28,,,,
401426545,Charlotte,21,Maryland,56,teamrankings,65,28,Maryland -28,,,,
401426548,Colorado State,19,Middle Tennessee,34,Bovada,58.0,-14.0,Colorado State -14.0,-7.0,57.0,-415,310
401426548,Colorado State,19,Middle Tennessee,34,William Hill (New Jersey),58.5,-13.5,Colorado State -13.5,,,,
401426548,Colorado State,19,Middle Tennessee,34,consensus,58.5,-13.5,Colorado State -13.5,,,,
401426548,Colorado State,19,Middle Tennessee,34,teamrankings,58,-13.5,Colorado State -13.5,,,,
401426332,Coastal Carolina,31,Gardner-Webb,27,William Hill (New Jersey),66.5,-32.5,Coastal Carolina -32.5,,,,
401426332,Coastal Carolina,31,Gardner-Webb,27,consensus,66.5,-32.5,Coastal Carolina -32.5,,,,
401426553,Army,38,UT San Antonio,41,Bovada,54.0,1.5,UT San Antonio -1.5,1.5,54.0,130,-150
401426553,Army,38,UT San Antonio,41,William Hill (New Jersey),54,2,UT San Antonio -2,,,,
401426553,Army,38,UT San Antonio,41,consensus,54,2,UT San Antonio -2,,,,
401426553,Army,38,UT San Antonio,41,teamrankings,54,2,UT San Antonio -2,,,,
401426549,North Texas,59,Texas Southern,27,William Hill (New Jersey),64.5,-38.5,North Texas -38.5,,,,
401426549,North Texas,59,Texas Southern,27,consensus,64.5,-38.5,North Texas -38.5,,,,
401426550,Rice,52,McNeese,10,William Hill (New Jersey),52.5,-7,Rice -7,,,,
401426550,Rice,52,McNeese,10,consensus,52.5,-7.5,Rice -7.5,,,,
401426552,UTEP,20,New Mexico State,13,Bovada,46.0,-17.0,UTEP -17.0,-13.5,46.0,-850,550
401426552,UTEP,20,New Mexico State,13,William Hill (New Jersey),46.5,-17,UTEP -17,,,,
401426552,UTEP,20,New Mexico State,13,consensus,46.5,-17.5,UTEP -17.5,,,,
401426552,UTEP,20,New Mexico State,13,teamrankings,46.5,-17,UTEP -17,,,,
401403887,Missouri,34,Abilene Christian,17,Bovada,56.5,-31.5,Missouri -31.5,-31.5,56.5,,
