Run,Parameter,Epoch_Stop,Fitness,Solution_Found
9,0.9,477,5.019735178884741e-24,True
9,1.0,275,2.5826630022890902e-17,True
9,1.1,280,9.700198558487749e-23,True
9,1.2,347,1.4717642087691396e-21,True
9,1.3,261,5.462163051376794e-18,True
9,1.4,784,0.0,True
9,1.5,533,6.907848487330362e-25,True
9,1.6,388,8.450581185834116e-24,True
9,1.7,370,1.6290926298052422e-24,True
9,1.8,348,6.835459031656585e-16,True
9,1.9,941,3.331265925515838e-26,True
9,2.0,792,8.785842312735712e-25,True
9,2.1,476,1.6064641523970467e-20,True
9,2.2,999,1.6397972971993807e-10,False
9,2.3,677,2.268183580446839e-20,True
9,2.4,568,2.377536744515702e-23,True
9,2.5,653,1.1108433570532747e-18,True
9,2.6,824,1.5425817055961142e-24,True
9,2.7,815,5.723896182389405e-23,True
9,2.8,750,6.064226263227395e-24,True
9,2.9,999,2.194019392645939e-27,True
9,3.0,999,1.22671670206337e-19,True
9,3.1,990,1.6429814994960152e-21,True
9,3.2,999,6.303934643961263e-17,True
9,3.3,999,4.4245086108721773e-16,True
9,3.4,999,1.4030861151045527e-12,True
9,3.5,999,4.735461257829075e-12,True
9,3.6,999,1.1154954805779845e-07,False
9,3.7,999,2.392000781176284e-07,False
9,3.8,999,6.68057355062977e-07,False
9,3.9,999,4.24271802232207e-08,False
9,4.0,999,2.432354603924745e-06,False
10,0.1,151,1.9842956038615455e-12,True
10,0.2,133,8.531611729514186e-15,True
10,0.3,144,8.24356653873597e-20,True
10,0.4,143,5.797344684726925e-13,True
10,0.5,224,2.8009197580958016e-19,True
10,0.6,143,1.337220573214779e-17,True
10,0.7,499,3.442154928686221e-14,True
10,0.8,348,3.0266445330823326e-15,True
10,0.9,227,3.5370990604853566e-11,True
10,1.0,723,2.259187128568905e-13,True
10,1.1,559,2.9056992232638544e-21,True
10,1.2,421,2.7733391199176196e-30,True
10,1.3,270,2.4777515951532735e-21,True
10,1.4,259,3.6312219634970035e-19,True
10,1.5,261,4.341394879956998e-18,True
10,1.6,317,1.6151373000135078e-19,True
10,1.7,445,4.127961205601826e-29,True
10,1.8,455,2.4452338507241177e-18,True
10,1.9,365,6.896663211841243e-21,True
10,2.0,673,1.2645643119978322e-20,True
10,2.1,360,1.3516875729806819e-19,True
10,2.2,443,1.0906945492323133e-23,True
10,2.3,687,8.374430342310972e-23,True
10,2.4,761,3.5240171851736714e-25,True
10,2.5,649,3.7314659118630025e-18,True
10,2.6,999,1.8453169435915747e-13,True
10,2.7,652,2.6337260516069304e-22,True
10,2.8,692,5.1821562247750126e-21,True
10,2.9,896,9.073671464403615e-22,True
10,3.0,999,1.0687125239790377e-18,True
10,3.1,999,7.04212611914141e-21,True
10,3.2,999,5.922848341030975e-16,True
10,3.3,999,4.785801391981976e-15,True
10,3.4,999,1.110827168663896e-15,True
10,3.5,999,8.396564268562176e-11,True
10,3.6,999,1.3493961870398044e-08,False
10,3.7,999,5.1633670722213535e-09,False
10,3.8,999,8.245276442197164e-07,False
10,3.9,999,1.9712950017628326e-07,False
10,4.0,999,7.898724869026933e-07,False
11,0.1,198,1.4093797866806543e-10,False
11,0.2,272,2.4158865222393487e-30,True
11,0.3,112,7.58793585792044e-10,False
11,0.4,130,4.688240427541087e-13,True
11,0.5,248,1.1066625141609851e-13,True
11,0.6,256,2.1764968456732158e-23,True
11,0.7,502,7.522413184286917e-17,True
11,0.8,181,9.028159731229969e-21,True
11,0.9,355,2.6306403221929888e-17,True
11,1.0,374,2.10373124595612e-17,True
